Pressure_kb,Temp_C,rhoH20_gcm-3,epsilon,DeltaGo_H2O_calmol-1,DeltaGo_CO2_aq_calmol-1,DeltaGo_H+_calmol-1,DeltaGo_HCO3-_calmol-1,DeltaGro_calmol-1,log_K,Pressure_kb_2,Temp_C_2,DeltaVo_H2O_cm3mol-1,DeltaVo_CO2_aq_cm3mol-1,DeltaVo_H+_cm3mol-1,DeltaVo_HCO3-_cm3mol-1,DeltaVr_cm3mol-1,Temp_C_3,Pressure_kb_3
5,300,0.993322796332836,33.9175291395381,-60673.8189286894,-99318.1703656354,0,-143643.568828304,16348.420466021,-6.23791389448488,5,300,18.1363803050822,33.3986806398397,0,,,300,5
5,350,0.962021542334557,29.2873710647767,-62033.5742548616,-101552.376912802,0,-144907.724212594,18678.2269550691,-6.55503360251321,5,350,18.726482939542,34.2473960545496,0,25.9576973350101,-27.0161816590815,350,5
5,400,0.930276831552982,25.3849679973373,-63462.2607942094,-103870.019573323,0,-146143.602829916,21188.6775376159,-6.88373075131313,5,400,19.3655043197472,35.2928654834705,0,24.4111834503773,-30.2471863528405,400,5
5,450,0.898377745358944,22.0764693499552,-64952.8021313422,-106273.40727336,0,-147340.926206557,23885.2831981458,-7.22327048541183,5,450,20.0531236365412,36.5789919560888,0,22.5563251879145,-34.0757904047155,450,5
5,500,0.866600848197937,19.2610567755892,-66496.4752938776,-108765.036634102,0,-148490.07786534,26771.4340626394,-7.5725081419238,5,500,20.788440303817,38.1545268786556,0,20.3254935644967,-38.6174736179759,500,5
5,550,0.835204227149486,16.8596408332266,-68084.7032414545,-111347.288073926,0,-149581.313199442,29850.6781159393,-7.93061911502013,5,550,21.5699099865494,40.0717772553795,0,17.6251444425095,-44.0165427994194,550,5
5,600,0.804420339398384,14.8082478350296,-69714.7705412041,-114022.144150671,0,-150604.948006119,33131.966685756,-8.29832101526234,5,600,22.3953561560532,42.3844133262233,0,14.3478295656064,-50.4319399166701,600,5
5,650,0.774453628058434,13.0540711174419,-71390.0873692177,-116790.889444608,0,-151552.114445761,36628.8623680642,-8.67726837894665,5,650,23.2619221439566,45.1440027238115,0,10.3811346310168,-58.0247902367513,650,5
5,700,0.745477541952133,11.5528847805686,-73112.9382672985,-119653.838010595,0,-152415.711179147,40351.0650987463,-9.06790766742633,5,700,24.1660935255334,48.3956465319138,0,5.61717255826329,-66.9445674991839,700,5
5,750,0.717629171214104,10.2672236785059,-74882.2260560609,-122610.154268768,0,-153191.256631151,44301.1236936778,-9.46906956594736,5,750,25.1038847396926,52.1736227697939,0,-3.58315743694247E-02,-77.313339083856,750,5
5,800,0.691008651247025,9.16517656173957,-76694.5650891268,-125657.718135671,0,-153877.514096871,48474.7691279268,-9.87841331048985,5,800,26.0709905259346,56.4970183750705,0,-6.64058445760951,-89.2085933586146,800,5
5,850,0.665681546897888,8.21951842904438,-78545.0039528588,-128793.0410581,0,-154476.745601762,52861.2994091976,-10.292762378336,5,850,27.0629103119234,61.365831745644,0,-14.2192110663181,-102.647953123886,850,5
5,900,0.641677660369873,7.40695215403439,-80427.4543541844,-132011.358772787,0,-154994.412599356,57444.4005276156,-10.7084356259484,5,900,28.0752800239543,66.7595952769492,0,-22.7477762786989,-117.582651579602,900,5
5,950,0.618998183751106,6.70761714039929,-82335.0757228771,-135306.673118247,0,-155438.772535883,62202.9763052409,-11.1214988004181,5,950,29.1039303069164,72.6362616931743,0,-32.154498581122,-133.894690581213,950,5
5,1000,0.597622851543426,6.10464930611377,-84260.2471523827,-138671.819639385,0,-155820.395878095,67111.6709136727,-11.5279039947472,5,1000,30.1448981635718,78.9322043686752,0,-42.3222875013663,-151.399390033613,1000,5
10,300,1.10266558968425,39.5102693713936,-58626.3450626683,-95384.7311173607,0,-140336.071110917,13675.0050691124,-5.2178437852797,10,300,16.3379361508495,31.510467091484,0,29.6841961814985,-18.1642070608349,300,10
10,350,1.07872846009135,34.6847998727176,-59931.8109679338,-97527.6749337029,0,-141741.132224918,15718.3536767189,-5.51628036081426,10,350,16.7004771511029,31.8027609473878,0,29.2297401358312,-19.2734979626595,350,10
10,400,1.05472665971756,30.593252620893,-61302.7626035638,-99733.8160222365,0,-143149.938779677,17886.6398461234,-5.81097204050785,10,400,17.0805201840866,32.1379251029825,0,28.7046321022466,-20.5138131848225,400,10
10,450,1.03079727869749,27.0966126201298,-62732.2529300162,-102002.307952687,0,-144555.011960763,20179.5489219397,-6.10260045600324,10,450,17.4770348858158,32.5191814778852,0,28.1044766639949,-21.891739699706,450,10
10,500,1.00707174474716,24.0911714953906,-64211.7206891177,-104332.53223479,0,-145950.06031273,22594.1926111782,-6.3909429397027,10,500,17.8887751483118,32.9498424780678,0,27.4244655878483,-23.4141520385312,500,10
10,550,0.983666286458969,21.4964489560167,-65732.7786779718,-106723.980325008,0,-147329.7461076,25127.0128953803,-6.6756529951343,10,550,18.3144225312956,33.43312061878,0,26.6597937441034,-25.0877494059722,550,10
10,600,0.960679847147465,19.2482419267253,-67292.9208943835,-109176.155877521,0,-148689.572053007,27779.504718897,-6.95772907140789,10,600,18.752636534942,33.9719239123836,0,25.8060451789317,-26.9185152683939,600,10
10,650,0.938193488805294,17.2942877607488,-68895.7857562353,-111688.499900444,0,-150025.817466587,30558.4681900921,-7.23921008166837,10,650,19.2020944666125,34.5686728106829,0,24.8595188109287,-28.9112484663668,650,10
10,700,0.916269796059132,15.5913912683453,-70543.8973341776,-114260.341329377,0,-151335.486269007,33468.7523945475,-7.52127746107847,10,700,19.6615451884189,35.2251719200675,0,23.817453125533,-31.0692639829534,700,10
10,750,0.894957048478126,14.103545592148,-72236.4042657702,-116890.830088461,0,-152616.316648282,36510.9177059493,-7.80396502049791,10,750,20.1297705075735,35.9423722051444,0,22.6784174313977,-33.3937252813202,750,10
10,800,0.874288028485775,12.8004479838215,-73970.170888122,-119578.922313257,0,-153866.730636311,39682.3625650673,-8.08665591619311,10,800,20.6056578759309,36.7203236793796,0,21.4423953986278,-35.8835861566827,800,10
10,850,0.854284193668365,11.6565051141776,-75740.4902094731,-122323.333588516,0,-155085.850770372,42977.9730276177,-8.36835395307807,10,850,21.0881579379819,37.5579752194356,0,20.1111091573921,-38.5350240000254,850,10
10,900,0.834956272819042,10.6499909292255,-77541.5088340576,-125122.529743063,0,-156273.468751336,46390.5698257841,-8.6478477635372,10,900,21.5763155346752,38.45312364259,0,18.688104086878,-41.3413350903872,900,10
10,950,0.816306650114059,9.7624166742697,-79366.609029902,-127974.707588522,0,-157430.038899643,49911.2777187812,-8.92382082414906,10,950,22.0692554660467,39.4023132876095,0,17.1789112569252,-44.2926574967311,950,10
10,1000,0.798330557200909,8.97800351491274,-81208.3753724788,-130877.793258777,0,-158556.650305229,53529.5183260272,-9.19487087337266,10,1000,22.5661912067663,40.4008136946861,0,15.5910848154812,-47.3759200859713,1000,10
15,300,1.17895356740236,43.5684291044151,-56738.0870353018,-91622.4916853802,0,-136799.115556812,11561.4631638702,-4.41139936793133,15,300,15.2807375100394,30.8308108817095,0,30.5290598191324,-15.5824885726165,300,15
15,350,1.15834951621294,38.5324172484784,-58006.113258165,-93725.4601231416,0,-138268.214223451,13463.359157856,-4.72490091777684,15,350,15.5525424302834,30.9770149063692,0,30.2815402610336,-16.2480170756189,350,15
15,400,1.13779463865876,34.2423247397492,-59338.0551015322,-95884.5953572298,0,-139752.155717172,15470.4947415901,-5.02602015636199,15,400,15.8335075486351,31.1432329582344,0,30.005494547523,-16.9712459593464,400,15
15,450,1.11735092332244,30.5559539636481,-60727.0086468287,-98098.5778372361,0,-141244.242273623,17581.3442104423,-5.31686409893655,15,450,16.1232067956159,31.3289377934626,0,29.7007534705793,-17.7513911184992,450,15
15,500,1.09709227966785,27.3679412399256,-62164.4763199875,-100366.341006403,0,-142738.913331602,19791.9039947883,-5.59829383043265,15,500,16.4209340762603,31.5339710606701,0,29.3669306305261,-18.5879745064043,500,15
15,550,1.07709023298264,24.5970478018609,-63642.1127453845,-102686.988205954,0,-144231.460675803,22097.640275536,-5.8708203440252,15,550,16.7258781561066,31.7583269217912,0,29.003611429824,-19.4805936480737,550,15
15,600,1.05740975206971,22.178848308777,-65157.6659700197,-105059.71992108,0,-145717.87767248,24499.5082186198,-6.13621237285528,15,600,17.0371797354223,32.001994930273,0,28.6105200139779,-20.4286546517175,600,15
15,650,1.03810418287277,20.0610690083683,-66715.0288490298,-107483.794594852,0,-147194.740003347,27004.0834405355,-6.39718692288119,15,650,17.3540192759323,32.2648969426937,0,28.187572425695,-21.4313437929309,650,15
15,700,1.01921584452033,18.2006522989189,-68316.8599714669,-109958.48543234,0,-148659.144526398,29616.2008774088,-6.65551143096438,15,700,17.6756278828048,32.5468148707532,0,27.7349633643296,-22.4874793892285,700,15
15,750,1.00077692339182,16.5617260586785,-69962.4565568464,-112483.04605064,0,-150108.6675593,32336.8350481861,-6.9117827062598,15,750,18.0012943733183,32.8473376605699,0,27.2532329943523,-23.595399039536,750,15
15,800,0.982810069161653,15.1141344681182,-71648.732511099,-115056.686570611,0,-151541.3293044,35164.0897773099,-7.16590132880731,15,800,18.3303779288375,33.1658314817877,0,26.7433030530335,-24.7529063575917,800,15
15,850,0.965329884909391,13.8323657396433,-73371.0442887826,-117678.550381461,0,-152955.57327387,38094.021396374,-7.41738690971153,15,850,18.6623042357079,33.5014078839691,0,26.2065199939511,-25.957192125726,850,15
15,900,0.948344119207859,12.6947253781909,-75123.6682855728,-120347.696699399,0,-154350.24819989,41121.1167850819,-7.66554838967235,15,900,18.9965642588135,33.8529036942422,0,25.6446818359613,-27.2047861170944,900,15
15,950,0.931854858211279,11.6826897508061,-76900.021279428,-123063.086116354,0,-155724.593934847,44238.5134609345,-7.90956644861717,15,950,19.3327102834242,34.2188659011469,0,25.060058627465,-28.4915175571061,950,15
15,1000,0.915859121699333,10.7803817205297,-78692.7751554368,-125823.574317157,0,-157078.221029386,47438.1284432079,-8.14854082663545,15,1000,19.6703614924679,34.597556405696,0,24.4553823214231,-29.8125355767408,1000,15
20,300,1.23935309653997,46.8689139583278,-54954.5807594622,-87932.2790845548,0,-133168.652055779,9718.20778823787,-3.70808565376314,20,300,14.5360350091472,30.4832891586919,0,30.9501103366926,-14.0692138311464,300,20
20,350,1.220675459764,41.6340752564038,-56193.1155362317,-90012.5060118087,0,-134676.640575536,11528.980972504,-4.04604022958343,20,350,14.758451852127,30.5663514824798,0,30.7888251871344,-14.5359781474723,350,20
20,400,1.20213193290234,37.1595386388768,-57494.6585817911,-92144.9373465565,0,-136205.1733935,13434.4225348473,-4.3645455156456,20,400,14.9861088512184,30.6628178874806,0,30.6127386385352,-15.0361881001638,400,20
20,450,1.18372773134053,33.2999232088022,-58852.2782217942,-94328.2155187267,0,-137747.796586447,15432.6971540739,-4.66708076846143,20,450,15.2191078429821,30.771194201917,0,30.4222497936679,-15.5680522512311,450,20
20,500,1.16549817068934,29.9481034168773,-60257.4450285215,-96561.2046296563,0,-139299.176029719,17519.4736284584,-4.95551924425527,20,500,15.4571499578971,30.8905459108456,0,30.2175930516209,-16.1301028171218,500,20
20,550,1.14748884831965,27.0218904181315,-61701.836484117,-98842.9359082499,0,-140854.795348643,19689.9770437237,-5.23116117197625,20,550,15.699742987813,31.0202268412616,0,29.9989649489774,-16.7210048800972,550,20
20,600,1.12974476555824,24.4562557111052,-63183.3751183611,-101172.566850978,0,-142410.769505728,21945.1724636107,-5.49644660594893,20,600,15.9463274796392,31.1597356088083,0,29.7665894754453,-17.3394736130023,600,20
20,650,1.1123060063684,22.1985823490685,-64706.2482487707,-103549.344016726,0,-143963.730973532,24291.8612919649,-5.75466957549589,20,650,16.1963343691891,31.3086249523473,0,29.5207696286073,-17.984189692929,650,20
20,700,1.09520609822869,20.2055799232643,-66273.205967929,-105972.571331694,0,-145510.75542328,26735.0218763429,-6.00803744010298,20,700,16.449214471264,31.4664426589846,0,29.2619260302349,-18.6537311000136,700,20
20,750,1.07847096905589,18.4411640442326,-67883.6543857877,-108441.587415994,0,-147049.304619772,29275.9371820096,-6.25753621288652,20,750,16.7044644843531,31.632699345769,0,28.9906137019228,-19.3465501281993,750,20
20,800,1.06211984127104,16.8749825285752,-69534.5307457765,-110955.741288775,0,-148577.193523412,31913.0785111394,-6.50339517267609,20,800,16.9616264568046,31.8068375736002,0,28.7075489680469,-20.0609150623579,800,20
20,850,1.0461653808105,15.4813058240934,-71221.2119476302,-113514.377125927,0,-150092.55836401,34643.0307095471,-6.74543545361131,20,850,17.2202983681633,31.9882197232152,0,28.4136139554312,-20.7949041359474,850,20
20,900,1.03061518723607,14.2382109668479,-72938.0409704792,-116116.814565917,0,-151593.843072277,37461.0124641194,-6.98325401206037,20,900,17.4801227685319,32.1761077579397,0,28.1098787030261,-21.5463518234455,900,20
20,950,1.01547209175706,13.1269218418333,-74678.4571786427,-118762.338800429,0,-153079.778604536,40361.0173745355,-7.21629466911425,20,950,17.74079282556,32.369661154269,0,27.7975974001116,-22.3128565797173,950,20
20,1000,1.0007354983294,12.1313052275521,-76435.2000786971,-121450.18508562,0,-154549.377639166,43336.0075251506,-7.44391143096689,20,1000,18.0020395299999,32.5679235476587,0,27.4782246108776,-23.0917384667809,1000,20
25,300,1.29014588548303,49.7026598623631,-53248.972421938,-84281.6469564846,0,-129487.793620369,8042.82575805318,-3.06882580193948,25,300,13.9637541790517,30.2734572454379,0,31.1998631168883,-13.0373483076013,300,25
25,350,1.27269073508143,44.2812940682807,-54462.689979305,-86347.4741696721,0,-131022.755989515,9787.40815946164,-3.43484365625889,25,350,14.1552692287394,30.3224341895328,0,31.0837335438591,-13.3939698744131,350,25
25,400,1.25545582296133,39.6357956404696,-55738.8738006423,-88462.7209896951,0,-132581.784107772,11619.8106825649,-3.77501842566664,25,400,14.3495929291292,30.3823104531155,0,30.9588324718297,-13.773070910415,400,25
25,450,1.23839570076287,35.6174008588023,-57070.5020828406,-90626.1382012372,0,-134158.527540716,13538.1127433617,-4.09412982027752,25,450,14.5472727246246,30.4511856681282,0,30.825586534007,-14.1728718587457,450,25
25,500,1.22151379573941,32.1170546659353,-58448.9860344456,-92836.6368849526,0,-135747.752101371,15537.8708180272,-4.3950074920294,25,500,14.7483229930243,30.5278340863315,0,30.6843017687078,-14.5918553106481,500,25
25,550,1.20483365163147,29.0513582885374,-59865.951815739,-95093.2748248094,0,-137345.015148864,17614.2114916842,-4.67967936304157,25,550,14.9525040038559,30.6114061549653,0,30.5352382180523,-15.0286719407689,550,25
25,600,1.18838611371934,26.3545267373382,-61319.5379233408,-97395.2301471118,0,-138946.478849777,19768.2892206758,-4.95121860502905,25,600,15.1594501080266,30.7012594663899,0,30.3786647921931,-15.4820447822234,600,25
25,650,1.17220172926128,23.9734061049906,-62814.1215600308,-99741.7790720716,0,-140548.785478142,22007.1151539605,-5.21342002157823,25,650,15.3687539868698,30.7968656722499,0,30.2148856672299,-15.9507339918898,650,25
25,700,1.15630746925116,21.8642787929179,-64352.6384830649,-102132.273567332,0,-142148.975950473,24335.9360999236,-5.46890202314266,25,700,15.5800083274278,30.8977518241765,0,30.0442609099162,-16.4334992416881,700,25
25,750,1.14072568534136,19.9907110894085,-65934.4471134359,-104566.119753281,0,-143744.43581478,26756.1310519362,-5.71894446737351,25,750,15.7928240167653,31.003460601588,0,29.8672244846532,-16.9290601337,750,25
25,800,1.12547351379871,18.3220212814307,-67556.5310440369,-107042.761034902,0,-145332.853635304,29266.4384436352,-5.96405058287696,25,800,16.0068449227158,31.1135268477394,0,29.6842923822305,-17.4360793882247,800,25
25,850,1.11056257748246,16.8321564412894,-69214.3394864904,-109561.665579021,0,-146912.186801075,31863.8182644356,-6.20428770249362,25,850,16.2217603629675,31.2274653460799,0,29.4960626500013,-17.953163059046,850,25
25,900,1.09600092298746,15.4988866041394,-70902.255492218,-112122.304469796,0,-148480.652788289,34543.9071737248,-6.43946499294985,25,900,16.4372854275471,31.3447475267745,0,29.3032392068629,-18.4787937474587,900,25
25,950,1.08179212657809,14.3031207550545,-72613.6866068229,-114724.147748969,0,-150036.699999266,37301.1343565252,-6.66920693576807,25,950,16.6531809183948,31.4648055322331,0,29.1066161101935,-19.0113703404343,950,25
25,1000,1.06793678429842,13.2284122532268,-74341.4125955653,-117366.648579971,0,-151579.003712817,40129.0574627198,-6.89304729761511,25,1000,16.869238202929,31.5870194099029,0,28.9070913365008,-19.5491662763311,1000,25
30,300,1.33441363105118,52.2147957250497,-51604.8560026433,-80655.9412180356,0,-125775.64132757,6485.15589310935,-2.47448028007401,30,300,13.5005215630243,30.1336051040096,0,31.3640689865365,-12.2700576804974,300,30
30,350,1.31776060694814,46.6172499151753,-52796.79939043,-82712.1851681032,0,-127330.816530579,8178.16802795399,-2.8700885988372,30,350,13.6711326055818,30.1616680961067,0,31.2749210673281,-12.5578796343605,350,30
30,400,1.30142214509964,41.8119142475542,-54050.914060657,-84815.6326096678,0,-128912.470504714,9954.07616561081,-3.23385827550982,30,400,13.8427642927658,30.1995447655572,0,31.1801460764813,-12.8621629818417,400,30
30,450,1.28530392153263,37.6463919450325,-55360.038764403,-86965.2114476651,0,-130514.308441386,11810.9417706824,-3.57180722494889,30,450,14.0163580754644,30.2451078127231,0,31.0801027271527,-13.1813631610348,450,30
30,500,1.26937851822019,34.0094662965666,-56715.4780927727,-89159.9352557215,0,-132131.146726178,13744.2666223166,-3.88767260874941,30,500,14.192204879329,30.2969861038377,0,30.975056775112,-13.5141342080547,500,30
30,550,1.25364995845973,30.8163990753861,-58108.8135242477,-91398.9259747934,0,-133758.582492472,15749.1570065694,-4.18417850062372,30,550,14.3702633086943,30.3542353588599,0,30.8652386495942,-13.8592600179599,550,30
30,600,1.2381362725842,28.0005039994966,-59538.3175750303,-93681.4101822443,0,-135392.798692965,17826.9290643095,-4.46498034647456,30,600,14.5503208321319,30.4161584331795,0,30.7508799180572,-14.2155993472542,600,30
30,650,1.22285936521292,25.5079648001165,-61008.6488598044,-96006.710022061,0,-137030.434243129,19984.9246387364,-4.73436911255358,30,650,14.7320947219988,30.4822061369996,0,30.6322292740192,-14.5820715849792,650,30
30,700,1.20784114096522,23.2945593726245,-62522.7624756593,-98374.2257123224,0,-138668.504280741,22228.4839072404,-4.99530406854095,30,700,14.9152727034976,30.5519117764504,0,30.5095719701082,-14.9576125098398,700,30
30,750,1.19310037522912,21.3234097940386,-64080.078144209,-100783.423462361,0,-140304.336900351,24559.164706219,-5.24935757144087,30,750,15.0995510302647,30.6248556039507,0,30.3832336230186,-15.3411730111967,750,30
30,800,1.17865241613925,19.5634451492588,-65677.6290487061,-103233.8187038,0,-141935.535175991,26975.9125765157,-5.49727659672218,30,800,15.2846418106962,30.7006362850316,0,30.253591584869,-15.7316865108588,800,30
30,850,1.16450873754382,17.9882622255283,-67310.8304707993,-105724.96362096,0,-143559.945408847,29475.8486829129,-5.73931987642782,30,850,15.470283235485,30.7788547042306,0,30.1210780844545,-16.1280598552611,850,30
30,900,1.15067693900466,16.5752733217648,-68974.1243281293,-108256.436107059,0,-145175.632921611,32054.9275135775,-5.97548454889996,30,900,15.6562449366399,30.8591034459439,0,29.986181520252,-16.5291668623317,900,30
30,950,1.13716149085224,15.3050605089304,-70660.9486381381,-110827.826902816,0,-146780.868268871,34707.9072720829,-6.2055543322767,30,950,15.8423233154849,30.940956403924,0,29.849452206121,-16.9338275132879,950,30
