T_C,P_kb,rho_model_gcm3,rho_truth_gcm3,drho_gcm3,eps_model,eps_truth,deps,G0_H2O_model_cal,G0_H2O_truth_cal,dG0_H2O_cal,G0_CO2_model_cal,G0_CO2_truth_cal,dG0_CO2_cal,G0_H+_model_cal,G0_H+_truth_cal,dG0_H+_cal,G0_HCO3-_model_cal,G0_HCO3-_truth_cal,dG0_HCO3-_cal,DeltaGro_model_cal,DeltaGro_truth_cal,dDeltaGro_cal,logK_model,logK_truth,dlogK,V0_H2O_model_cm3,V0_H2O_truth_cm3,dV0_H2O_cm3,V0_CO2_model_cm3,V0_CO2_truth_cm3,dV0_CO2_cm3,V0_H+_model_cm3,V0_H+_truth_cm3,dV0_H+_cm3,V0_HCO3-_model_cm3,V0_HCO3-_truth_cm3,dV0_HCO3-_cm3,DeltaVr_model_cm3,DeltaVr_truth_cm3,dDeltaVr_cm3
1000,40,1.21481,1.21481,5.58791e-08,15.7057,15.7057,9.62353e-07,-68769,-68760.8,-8.16802,-105837,-105837,0.431083,0,0,0,-141586,-141585,-0.686122,33019.6,33012.6,7.05082,-5.66806,-5.67063,0.00257591,14.8294,14.8297,-0.00023117,30.4173,30.4173,-2.55609e-07,0,0,0,30.5582,30.5582,4.06834e-07,-14.6885,-14.6888,0.000231833
300,45,1.44275,1.44275,2.79396e-08,58.5249,58.5249,1.65645e-06,-46984,-46983,-0.990044,-69862,-69864.3,2.23705,0,0,0,-114537,-114534,-3.56055,2308.89,2313.7,-4.80756,-0.880394,-0.882817,0.0024226,12.4866,12.4868,-0.000194316,29.9023,29.9023,-3.25549e-08,0,0,0,31.6307,31.6307,5.18152e-08,-10.7581,-10.7583,0.0001944
350,45,1.42712,1.42712,1.86264e-08,52.4436,52.4436,1.01114e-06,-48123.1,-48121.9,-1.15408,-71904.7,-71906.8,2.10803,0,0,0,-116132,-116129,-3.35519,3895.77,3900.08,-4.30914,-1.36629,-1.36871,0.00242514,12.6234,12.6236,-0.000196365,29.8992,29.8992,-2.4772e-08,0,0,0,31.5801,31.5801,3.94276e-08,-10.9424,-10.9426,0.000196429
400,45,1.41214,1.41214,-5.58791e-08,47.2071,47.2071,-2.77657e-06,-49325.1,-49323.7,-1.37958,-73989.4,-73991.4,1.97888,0,0,0,-117758,-117754,-3.14964,5556.92,5560.67,-3.74893,-1.80411,-1.80654,0.00242334,12.7572,12.7574,-0.000197776,29.9051,29.9051,8.35885e-08,0,0,0,31.5277,31.5277,-1.33041e-07,-11.1346,-11.1348,0.000197559
450,45,1.39757,1.39757,1.86264e-08,42.6501,42.6501,8.4706e-07,-50582.6,-50580.9,-1.7058,-76115.8,-76117.6,1.85,0,0,0,-119408,-119405,-2.94451,7290.81,7293.9,-3.08871,-2.20338,-2.20579,0.00240623,12.8902,12.8904,-0.000200519,29.9176,29.9176,-3.09965e-08,0,0,0,31.4736,31.4736,4.93348e-08,-11.3341,-11.3343,0.000200599
500,45,1.38329,1.38329,1.86264e-08,38.6539,38.6539,7.75268e-07,-51887.3,-51885.1,-2.20261,-78283.3,-78285,1.72099,0,0,0,-121077,-121074,-2.73917,9093.56,9095.82,-2.25755,-2.57047,-2.57282,0.00235599,13.0233,13.0235,-0.000202591,29.935,29.935,-3.41853e-08,0,0,0,31.4179,31.4179,5.44102e-08,-11.5403,-11.5405,0.000202679
550,45,1.36925,1.36925,-9.31318e-09,35.1291,35.1291,-3.54826e-07,-53230.9,-53228,-2.93142,-80491.3,-80492.9,1.5919,0,0,0,-122761,-122759,-2.53372,10960.8,10962,-1.1942,-2.91009,-2.91235,0.00226161,13.1569,13.1571,-0.000204402,29.9562,29.9562,1.87182e-08,0,0,0,31.3607,31.3607,-2.97923e-08,-11.7524,-11.7526,0.000204354
600,45,1.35541,1.35541,-6.51923e-08,32.0056,32.0056,-2.27403e-06,-54611.2,-54607.4,-3.79574,-82739.3,-82740.7,1.46273,0,0,0,-124457,-124455,-2.32812,12893.5,12893.5,0.00488666,-3.22718,-3.22934,0.00215498,13.2911,13.2913,-0.00020594,29.9807,29.9807,1.42634e-07,0,0,0,31.3022,31.3022,-2.2702e-07,-11.9696,-11.9698,0.00020557
650,45,1.34179,1.34179,6.51923e-08,29.2273,29.2273,2.08252e-06,-56031.7,-56027,-4.63938,-85026.7,-85028,1.33409,0,0,0,-126160,-126158,-2.12337,14898,14896.8,1.18192,-3.52693,-3.52901,0.00207648,13.4261,13.4263,-0.000209329,30.0076,30.0076,-1.5447e-07,0,0,0,31.2423,31.2423,2.45859e-07,-12.1914,-12.1916,0.000209729
700,45,1.32839,1.32839,2.79396e-08,26.7482,26.7482,8.17577e-07,-57495.2,-57489.7,-5.41931,-87353.1,-87354.3,1.20497,0,0,0,-127869,-127867,-1.91786,16979.7,16977.4,2.29649,-3.81322,-3.81525,0.00203168,13.5616,13.5618,-0.000211067,30.0368,30.0368,-7.13687e-08,0,0,0,31.1814,31.1814,1.13592e-07,-12.4169,-12.4171,0.000211252
750,45,1.31521,1.31521,3.72528e-08,24.5298,24.5298,9.98889e-07,-59001.2,-58995.1,-6.14293,-89718.2,-89719.3,1.07599,0,0,0,-129579,-129577,-1.71257,19140.6,19137.2,3.35437,-4.08844,-4.09045,0.00201466,13.6975,13.6977,-0.000213282,30.0676,30.0676,-1.02164e-07,0,0,0,31.1195,31.1195,1.62606e-07,-12.6456,-12.6458,0.000213547
800,45,1.30226,1.30226,5.58791e-08,22.5398,22.5398,1.37339e-06,-60547.1,-60540.3,-6.82275,-92121.5,-92122.5,0.947057,0,0,0,-131289,-131287,-1.50736,21380,21375.6,4.36833,-4.354,-4.35602,0.00201887,13.8336,13.8338,-0.000215604,30.1,30.1,-1.63906e-07,0,0,0,31.0568,31.0568,2.60876e-07,-12.8768,-12.877,0.000216029
850,45,1.28956,1.28956,1.86264e-08,20.7506,20.7506,4.19752e-07,-62128.3,-62120.8,-7.46852,-94562.9,-94563.7,0.817901,0,0,0,-132996,-132994,-1.30179,23695.6,23690.2,5.34883,-4.61075,-4.61279,0.00203913,13.9698,13.9701,-0.00021733,30.1335,30.1335,-5.82298e-08,0,0,0,30.9935,30.9935,9.268e-08,-13.1099,-13.1101,0.00021748
900,45,1.27712,1.27712,3.72528e-08,19.1385,19.1385,7.69963e-07,-63739.3,-63731.2,-8.08726,-97042,-97042.7,0.688974,0,0,0,-134698,-134696,-1.09659,26083.8,26077.5,6.3017,-4.85914,-4.86121,0.00207185,14.106,14.1062,-0.000219656,30.1679,30.1679,-1.23708e-07,0,0,0,30.9298,30.9298,1.96897e-07,-13.3441,-13.3444,0.000219976
950,45,1.26492,1.26492,3.72528e-08,17.683,17.683,7.06375e-07,-65373.8,-65365.1,-8.68407,-99558.7,-99559.3,0.559969,0,0,0,-136392,-136392,-0.89126,28540.1,28532.9,7.23284,-5.09939,-5.1015,0.0021139,14.242,14.2422,-0.000221777,30.2029,30.2029,-1.3099e-07,0,0,0,30.8659,30.8659,2.08486e-07,-13.579,-13.5793,0.000222116
1000,45,1.25299,1.25299,5.58791e-08,16.3665,16.3665,9.72293e-07,-67024.5,-67015.2,-9.26272,-102113,-102113,0.431061,0,0,0,-138078,-138078,-0.686088,31059,31050.9,8.14557,-5.33151,-5.33367,0.002163,14.3776,14.3779,-0.000224107,30.2384,30.2384,-2.07409e-07,0,0,0,30.8022,30.8022,3.30117e-07,-13.8139,-13.8141,0.000224645
300,50,1.47336,1.47336,3.72527e-08,60.3485,60.3485,2.23011e-06,-45507.6,-45506.5,-1.13293,-66282.5,-66284.8,2.23706,0,0,0,-110768,-110765,-3.56057,1021.96,1026.63,-4.6647,-0.38968,-0.39172,0.00204023,12.2272,12.2274,-0.000190351,29.8566,29.8566,-3.72289e-08,0,0,0,31.6824,31.6824,5.92545e-08,-10.4013,-10.4015,0.000190448
350,50,1.45778,1.45778,-5.58791e-08,54.1167,54.1167,-3.06434e-06,-46630.7,-46629.4,-1.31632,-68323.6,-68325.7,2.10791,0,0,0,-112372,-112369,-3.35501,2581.84,2585.98,-4.1466,-0.905478,-0.907538,0.00206021,12.3578,12.358,-0.000191599,29.8479,29.8479,6.36474e-08,0,0,0,31.6385,31.6385,-1.01303e-07,-10.5672,-10.5674,0.000191434
400,50,1.44299,1.44299,-5.58791e-08,48.7483,48.7483,-2.80592e-06,-47817.2,-47815.6,-1.5683,-70405.1,-70407.1,1.97889,0,0,0,-114008,-114005,-3.14964,4214.03,4217.59,-3.56023,-1.36813,-1.3702,0.00207074,12.4845,12.4846,-0.000193557,29.8482,29.8482,7.1448e-08,0,0,0,31.5933,31.5933,-1.13718e-07,-10.7394,-10.7396,0.000193372
450,50,1.4287,1.4287,-1.86264e-08,44.0731,44.0731,-8.56254e-07,-49059.3,-49057.4,-1.93253,-72527.1,-72529,1.84993,0,0,0,-115669,-115667,-2.94439,5916.99,5919.85,-2.86179,-1.78819,-1.79025,0.00206021,12.6094,12.6096,-0.000195819,29.8549,29.8549,2.64354e-08,0,0,0,31.5469,31.5469,-4.20752e-08,-10.9175,-10.9177,0.00019575
500,50,1.41473,1.41473,-3.10862e-15,39.9695,39.9695,4.26326e-14,-50348.6,-50346.1,-2.48679,-74689.2,-74690.9,1.72095,0,0,0,-117351,-117348,-2.7391,7686.87,7688.84,-1.97325,-2.17284,-2.17485,0.0020099,12.7339,12.7341,-0.000197918,29.8665,29.8665,2.4869e-14,0,0,0,31.4993,31.4993,4.61853e-14,-11.1011,-11.1013,0.000197918
550,50,1.40102,1.40102,4.65659e-08,36.3462,36.3462,1.79398e-06,-51676.8,-51673.5,-3.29948,-76890.8,-76892.4,1.59204,0,0,0,-119048,-119046,-2.53393,9519.38,9520.21,-0.826484,-2.52739,-2.52929,0.00190822,12.8585,12.8587,-0.000200282,29.8818,29.8818,-7.94368e-08,0,0,0,31.4507,31.4507,1.26434e-07,-11.2896,-11.2898,0.000200488
600,50,1.38753,1.38753,1.86264e-08,33.1321,33.1321,6.57024e-07,-53041.6,-53037.3,-4.2631,-79131.6,-79133,1.46296,0,0,0,-120758,-120755,-2.32848,11415.4,11414.9,0.471663,-2.85723,-2.85902,0.00179089,12.9835,12.9837,-0.000201972,29.9001,29.9001,-3.45047e-08,0,0,0,31.4011,31.4011,5.49187e-08,-11.4825,-11.4827,0.000202062
650,50,1.37425,1.37425,-3.72528e-08,30.2701,30.2701,-1.20335e-06,-54446.5,-54441.3,-5.20372,-81411,-81412.3,1.33379,0,0,0,-122476,-122474,-2.12289,13381.5,13379.8,1.74705,-3.16793,-3.16963,0.00170274,13.1089,13.1091,-0.000203392,29.9208,29.9208,7.45538e-08,0,0,0,31.3507,31.3507,-1.18662e-07,-11.679,-11.6792,0.000203199
700,50,1.36119,1.36119,-2.79396e-08,27.7135,27.7135,-8.26667e-07,-55894.5,-55888.4,-6.07342,-83728.6,-83729.8,1.20479,0,0,0,-124200,-124198,-1.91757,15423.1,15420.2,2.95106,-3.46365,-3.4653,0.00165101,13.2347,13.2349,-0.00020543,29.9434,29.9434,6.01342e-08,0,0,0,31.2994,31.2994,-9.5711e-08,-11.8787,-11.8789,0.000205275
750,50,1.34835,1.34835,-1.86264e-08,25.4234,25.4234,-5.04914e-07,-57384.9,-57378,-6.88042,-86084.2,-86085.3,1.0758,0,0,0,-125927,-125925,-1.71226,17542.2,17538.1,4.09236,-3.74702,-3.74865,0.00162881,13.3608,13.361,-0.000207477,29.9676,29.9676,4.29387e-08,0,0,0,31.2475,31.2475,-6.83423e-08,-12.0809,-12.0811,0.000207365
800,50,1.33574,1.33574,-5.58791e-08,23.3669,23.3669,-1.38811e-06,-58915.1,-58907.4,-7.63866,-88477.4,-88478.3,0.946637,0,0,0,-127654,-127653,-1.50669,19738.3,19733.1,5.18533,-4.01967,-4.0213,0.001629,13.487,13.4872,-0.000209058,29.9932,29.9932,1.37457e-07,0,0,0,31.1951,31.1951,-2.1878e-07,-12.2851,-12.2853,0.000208702
850,50,1.32335,1.32335,-3.33067e-15,21.516,21.516,-4.26326e-14,-60480.6,-60472.3,-8.35899,-90908,-90908.8,0.817823,0,0,0,-129379,-129378,-1.30167,22009.1,22002.9,6.2395,-4.28259,-4.28424,0.00164645,13.6131,13.6134,-0.000211584,30.0198,30.0198,-2.13163e-14,0,0,0,31.1423,31.1423,-7.10543e-15,-12.4906,-12.4908,0.000211584
900,50,1.31121,1.31121,5.58791e-08,19.8468,19.8468,1.16654e-06,-62076,-62067,-9.04922,-93375.8,-93376.5,0.689043,0,0,0,-131101,-131099,-1.0967,24351.2,24344,7.26348,-4.53638,-4.53805,0.00167691,13.7392,13.7394,-0.000214128,30.0473,30.0473,-1.54926e-07,0,0,0,31.0894,31.0894,2.46584e-07,-12.6971,-12.6973,0.00021453
950,50,1.29931,1.29931,-9.31319e-09,18.3383,18.3383,-1.7829e-07,-63694.9,-63685.1,-9.71504,-95880.6,-95881.2,0.559746,0,0,0,-132815,-132814,-0.890905,26760.1,26751.9,8.26439,-4.78135,-4.78307,0.00171698,13.865,13.8652,-0.000215399,30.0753,30.0753,2.72824e-08,0,0,0,31.0364,31.0364,-4.34234e-08,-12.9038,-12.904,0.000215328
1000,50,1.28766,1.28766,-5.58791e-08,16.9727,16.9727,-9.81147e-07,-65330,-65319.6,-10.3606,-98422.4,-98422.8,0.430498,0,0,0,-134522,-134521,-0.685192,29230.6,29221.3,9.24495,-5.01764,-5.01941,0.00176445,13.9905,13.9907,-0.000216841,30.1036,30.1036,1.7244e-07,0,0,0,30.9837,30.9837,-2.7446e-07,-13.1104,-13.1106,0.000216394
300,55,1.502,1.502,-9.31319e-09,62.071,62.071,-5.62505e-07,-44060.6,-44059.3,-1.27863,-62708.9,-62711.2,2.237,0,0,0,-106992,-106989,-3.56047,-222.6,-218.081,-4.51884,0.0848786,0.0832111,0.0016675,11.994,11.9942,-0.000186343,29.8194,29.8194,8.09078e-09,0,0,0,31.7242,31.7242,-1.28775e-08,-10.0892,-10.0893,0.000186322
350,55,1.48638,1.48638,-9.31319e-09,55.6926,55.6926,-5.15482e-07,-45168.3,-45166.9,-1.48133,-64749.2,-64751.3,2.10798,0,0,0,-108605,-108601,-3.35512,1313.02,1317,-3.98177,-0.46049,-0.462195,0.00170506,12.12,12.1202,-0.000188301,29.8064,29.8064,9.2128e-09,0,0,0,31.6855,31.6855,-1.46634e-08,-10.2409,-10.2411,0.000188277
400,55,1.4717,1.4717,-9.31319e-09,50.1967,50.1967,-4.72155e-07,-46340,-46338.3,-1.75976,-66828.6,-66830.6,1.97897,0,0,0,-110249,-110246,-3.14977,2919.33,2922.7,-3.36897,-0.947792,-0.94952,0.00172776,12.2409,12.2411,-0.000190178,29.8023,29.8023,1.03265e-08,0,0,0,31.6458,31.6458,-1.64359e-08,-10.3974,-10.3976,0.000190152
450,55,1.45759,1.45759,-1.86264e-08,45.408,45.408,-8.64699e-07,-47567.6,-47565.5,-2.16199,-68947.3,-68949.1,1.84993,0,0,0,-111920,-111917,-2.94439,4594.76,4597.39,-2.63234,-1.3886,-1.39032,0.00172383,12.3594,12.3596,-0.00019194,29.8046,29.8046,2.28838e-08,0,0,0,31.6052,31.6052,-3.64225e-08,-10.5588,-10.559,0.000191881
500,55,1.44386,1.44386,1.86264e-08,41.2016,41.2016,7.91702e-07,-48842.5,-48839.7,-2.77371,-71105,-71106.7,1.72098,0,0,0,-113612,-113609,-2.73916,6335.45,6337.13,-1.68644,-1.79083,-1.79251,0.00167354,12.477,12.4772,-0.000194086,29.8116,29.8116,-2.51302e-08,0,0,0,31.5639,31.5639,3.99977e-08,-10.7247,-10.7249,0.000194151
550,55,1.43041,1.43041,1.86264e-08,37.4845,37.4845,7.24856e-07,-50156.2,-50152.6,-3.67027,-73301.5,-73303,1.59197,0,0,0,-115321,-115318,-2.53382,8137.16,8137.62,-0.45552,-2.16041,-2.16197,0.00156447,12.5943,12.5945,-0.000195912,29.8223,29.8223,-2.73986e-08,0,0,0,31.5218,31.5218,4.36082e-08,-10.8948,-10.895,0.000195983
600,55,1.4172,1.4172,4.44089e-15,34.1842,34.1842,-1.42109e-14,-51506.6,-51501.8,-4.7332,-75536.3,-75537.7,1.46291,0,0,0,-117042,-117040,-2.3284,10000.8,9999.88,0.941888,-2.50316,-2.5046,0.00143655,12.7116,12.7118,-0.000197572,29.8359,29.8359,2.84217e-14,0,0,0,31.479,31.479,2.4869e-14,-11.0686,-11.0688,0.000197572
650,55,1.40421,1.40421,4.65659e-08,31.2428,31.2428,1.5194e-06,-52897,-52891.2,-5.77082,-77809,-77810.3,1.33402,0,0,0,-118773,-118771,-2.12326,11933,11930.7,2.31354,-2.82501,-2.82635,0.00133942,12.8292,12.8294,-0.000199825,29.8518,29.8518,-8.00342e-08,0,0,0,31.4356,31.4356,1.27384e-07,-11.2454,-11.2456,0.000200033
700,55,1.39144,1.39144,3.72528e-08,28.6129,28.6129,1.11326e-06,-54330.4,-54323.6,-6.73029,-80119.3,-80120.5,1.20498,0,0,0,-120510,-120509,-1.91788,13939.3,13935.6,3.60742,-3.13041,-3.13169,0.00128087,12.947,12.9472,-0.000201577,29.8695,29.8695,-6.87208e-08,0,0,0,31.3917,31.3917,1.09378e-07,-11.4249,-11.4251,0.000201755
750,55,1.37888,1.37888,5.58791e-08,26.255,26.255,1.52966e-06,-55806.3,-55798.6,-7.62069,-82467,-82468,1.07604,0,0,0,-122252,-122250,-1.71265,16021.6,16016.8,4.83201,-3.42222,-3.42348,0.00125371,13.065,13.0652,-0.000203593,29.8888,29.8888,-1.1019e-07,0,0,0,31.3473,31.3473,1.75382e-07,-11.6065,-11.6067,0.000203879
800,55,1.36654,1.36654,-2.44249e-15,24.1358,24.1358,-3.55271e-15,-57321.9,-57313.4,-8.45735,-84851.6,-84852.6,0.946841,0,0,0,-123994,-123992,-1.50702,18179.6,18173.6,6.0035,-3.70225,-3.7035,0.00125019,13.1829,13.1831,-0.000204897,29.9093,29.9093,-7.10543e-15,0,0,0,31.3026,31.3026,1.06581e-14,-11.7897,-11.7899,0.000204897
850,55,1.35442,1.35442,-5.58791e-08,22.2268,22.2268,-1.28425e-06,-58872.8,-58863.6,-9.25225,-87273.2,-87274,0.817615,0,0,0,-125735,-125734,-1.30134,20411.1,20404,7.1333,-3.97165,-3.97291,0.00126466,13.3009,13.3011,-0.000206181,29.9308,29.9308,1.24559e-07,0,0,0,31.2577,31.2577,-1.98252e-07,-11.9739,-11.9741,0.000205858
900,55,1.34254,1.34254,4.65659e-08,20.5038,20.5038,9.80863e-07,-60453.7,-60443.7,-10.014,-89731.4,-89732.1,0.688992,0,0,0,-127472,-127471,-1.09662,22712.8,22704.5,8.22839,-4.23115,-4.23244,0.0012931,13.4186,13.4188,-0.000209025,29.953,29.953,-1.09817e-07,0,0,0,31.2127,31.2127,1.74787e-07,-12.1588,-12.1591,0.00020931
950,55,1.33089,1.33089,-3.72528e-08,18.9455,18.9455,-7.19291e-07,-62058,-62047.2,-10.7488,-92226.2,-92226.8,0.559628,0,0,0,-129204,-129203,-0.890718,25080.2,25070.9,9.29849,-4.48118,-4.48251,0.00133153,13.536,13.5362,-0.000210006,29.9757,29.9757,9.26618e-08,0,0,0,31.1678,31.1678,-1.47483e-07,-12.3439,-12.3441,0.000209766
1000,55,1.31948,1.31948,-4.65659e-08,17.5337,17.5337,-8.24278e-07,-63678.7,-63667.2,-11.4614,-94757.6,-94758,0.430556,0,0,0,-130928,-130927,-0.685284,27508.1,27497.8,10.3456,-4.72197,-4.72335,0.00137785,13.6531,13.6533,-0.000211722,29.9989,29.9989,1.21807e-07,0,0,0,31.1232,31.1232,-1.9387e-07,-12.5287,-12.5289,0.000211407
300,60,1.52899,1.52899,1.86264e-08,63.7075,63.7075,1.13429e-06,-42640.1,-42638.7,-1.42687,-59140.1,-59142.4,2.23704,0,0,0,-103210,-103207,-3.56053,-1430.02,-1425.65,-4.37069,0.545274,0.54397,0.00130337,11.7823,11.7825,-0.000183271,29.7887,29.7887,-1.42246e-08,0,0,0,31.7586,31.7586,2.26403e-08,-9.81232,-9.81251,0.000183308
350,60,1.51324,1.51324,-1.86264e-08,57.1858,57.1858,-1.03981e-06,-43733,-43731.3,-1.64883,-61180.4,-61182.6,2.10797,0,0,0,-104830,-104827,-3.3551,83.5005,87.3147,-3.81424,-0.0292845,-0.0306427,0.00135816,11.9049,11.9051,-0.000184886,29.772,29.772,1.61888e-08,0,0,0,31.7239,31.7239,-2.57666e-08,-9.953,-9.95319,0.000184844
400,60,1.4986,1.4986,-9.31319e-09,51.5663,51.5663,-4.76332e-07,-44890.5,-44888.6,-1.95368,-63258.4,-63260.4,1.97897,0,0,0,-106483,-106479,-3.14977,1666.36,1669.54,-3.17506,-0.541003,-0.542396,0.00139297,12.0212,12.0214,-0.000186767,29.7645,29.7645,9.06267e-09,0,0,0,31.6886,31.6886,-1.44244e-08,-10.0971,-10.0973,0.000186743
450,60,1.48461,1.48461,4.65659e-08,46.6679,46.6679,2.1813e-06,-46104.3,-46101.9,-2.39389,-65374.5,-65376.4,1.85004,0,0,0,-108162,-108159,-2.94457,3316.94,3319.34,-2.40073,-1.00242,-1.00382,0.00139577,12.1345,12.1347,-0.000188982,29.7632,29.7632,-5.01369e-08,0,0,0,31.6527,31.6527,7.97993e-08,-10.2451,-10.2453,0.000189112
500,60,1.47106,1.47106,2.79396e-08,42.3628,42.3628,1.19845e-06,-47365.4,-47362.4,-3.06306,-67528.8,-67530.5,1.721,0,0,0,-109863,-109860,-2.73918,5031.37,5032.77,-1.39713,-1.42221,-1.42356,0.00134542,12.2463,12.2465,-0.000190572,29.7667,29.7667,-3.29833e-08,0,0,0,31.6162,31.6162,5.24969e-08,-10.3969,-10.3971,0.000190658
550,60,1.45782,1.45782,-3.55271e-15,38.5559,38.5559,-7.10543e-15,-48665.6,-48661.5,-4.04349,-69721,-69722.6,1.59193,0,0,0,-111581,-111579,-2.53375,6805.42,6805.51,-0.0821885,-1.80683,-1.80806,0.00122905,12.3575,12.3577,-0.000192068,29.7738,29.7738,3.19744e-14,0,0,0,31.5792,31.5792,7.10543e-15,-10.5522,-10.5524,0.000192068
600,60,1.44483,1.44483,3.72527e-08,35.1733,35.1733,1.33967e-06,-50002.2,-49997,-5.20574,-71950.9,-71952.4,1.463,0,0,0,-113313,-113311,-2.32854,8640.06,8638.64,1.4142,-2.16257,-2.16366,0.00109069,12.4686,12.4687,-0.000194115,29.7837,29.7837,-5.17898e-08,0,0,0,31.5417,31.5417,8.243e-08,-10.7106,-10.7108,0.000194249
650,60,1.43208,1.43208,2.79396e-08,32.1563,32.1563,9.20038e-07,-51379,-51372.7,-6.34035,-74218,-74219.4,1.33396,0,0,0,-115055,-115053,-2.12317,10541.9,10539,2.88322,-2.49568,-2.49667,0.000984433,12.5796,12.5798,-0.000195765,29.7959,29.7959,-4.18079e-08,0,0,0,31.5038,31.5038,6.65426e-08,-10.8717,-10.8719,0.000195874
700,60,1.41954,1.41954,-9.31319e-09,29.4566,29.4566,-2.80848e-07,-52798.7,-52791.4,-7.38961,-76522.2,-76523.4,1.20485,0,0,0,-116804,-116802,-1.91767,12516.5,12512.3,4.26709,-2.81091,-2.81183,0.000919148,12.6907,12.6909,-0.000197163,29.8098,29.8098,1.49325e-08,0,0,0,31.4655,31.4655,-2.37669e-08,-11.035,-11.0352,0.000197125
750,60,1.40722,1.40722,9.31319e-09,27.0343,27.0343,2.57223e-07,-54260.9,-54252.6,-8.36341,-78863.1,-78864.2,1.07589,0,0,0,-118558,-118556,-1.71241,14566.1,14560.5,5.57512,-3.11132,-3.11221,0.000887146,12.8018,12.802,-0.000199059,29.8252,29.8252,-1.5936e-08,0,0,0,31.4269,31.4269,2.53641e-08,-11.2001,-11.2003,0.0001991
800,60,1.39511,1.39511,5.58791e-08,24.8556,24.8556,1.4137e-06,-55762.9,-55753.6,-9.27851,-81240.5,-81241.4,0.947024,0,0,0,-120313,-120312,-1.50731,16690.1,16683.3,6.82418,-3.39892,-3.3998,0.00088028,12.9129,12.9131,-0.000201218,29.8418,29.8418,-1.01669e-07,0,0,0,31.3881,31.3881,1.61818e-07,-11.3666,-11.3668,0.000201481
850,60,1.38323,1.38323,-3.72528e-08,22.8916,22.8916,-8.6341e-07,-57300.2,-57290,-10.148,-83654.3,-83655.1,0.817691,0,0,0,-122068,-122067,-1.30146,18886.6,18878.6,8.02885,-3.675,-3.6759,0.00089209,13.0239,13.0241,-0.000202075,29.8593,29.8593,7.18258e-08,0,0,0,31.3493,31.3493,-1.1432e-07,-11.5339,-11.5341,0.000201888
900,60,1.37156,1.37156,1.9984e-15,21.1176,21.1176,-2.4869e-14,-58867.4,-58856.4,-10.9813,-86104.3,-86105,0.688806,0,0,0,-123819,-123818,-1.09632,21152.2,21143,9.19613,-3.94044,-3.94135,0.000918465,13.1346,13.1348,-0.000204146,29.8775,29.8775,-2.13163e-14,0,0,0,31.3104,31.3104,1.42109e-14,-11.7017,-11.7019,0.000204146
950,60,1.36013,1.36013,-3.72528e-08,19.5122,19.5122,-7.24883e-07,-60458.1,-60446.3,-11.7851,-88590.5,-88591.1,0.559636,0,0,0,-125566,-125565,-0.89073,23482.7,23472.4,10.3348,-4.19575,-4.19671,0.000955549,13.245,13.2453,-0.0002055,29.8962,29.8962,7.99061e-08,0,0,0,31.2717,31.2717,-1.27181e-07,-11.8696,-11.8698,0.000205293
1000,60,1.34893,1.34893,-9.31319e-09,18.0568,18.0568,-1.66068e-07,-62065.2,-62052.7,-12.5647,-91112.9,-91113.4,0.43073,0,0,0,-127305,-127305,-0.68556,25872.9,25861.5,11.4484,-4.44128,-4.44228,0.00100087,13.355,13.3552,-0.00020748,29.9153,29.9153,2.09775e-08,0,0,0,31.2333,31.2333,-3.33883e-08,-12.0371,-12.0373,0.000207426
